fecha,tipo_institucion,roa,roe,morosidad,tamano_activo,ratio_eficiencia_operativa,margen_financiero_neto
2018-06-01,Cajas Municipales,1.6087591240473949,12.094889271859149,6.55,23419349.91866,61.209514277000885,1190552.9895
2018-07-01,Banca Múltiple,2.185670585490028,18.603363001210813,3.18,222763360.078,41.60667294628952,8462591.83462
2018-07-01,Cajas Municipales,1.588421242702913,11.954554668172428,6.65,23577946.224880002,61.27468627072725,1411249.4482399998
2018-08-01,Banca Múltiple,2.191135552114799,18.556097031419554,3.23,226885227.32800004,41.52294659160886,9656777.190799998
2018-08-01,Cajas Municipales,1.5255715112267536,11.501605136546111,6.95,23905299.673869997,61.22453885785407,1617703.0798100003
2018-09-01,Banca Múltiple,2.2049402670785376,18.54193133613076,3.07,228935159.78300002,41.699415208395266,10874169.967109999
2018-09-01,Cajas Municipales,1.477842719092343,11.160746226652234,6.94,24034655.629580006,61.41942288802933,1825373.1657199997
2018-10-01,Banca Múltiple,2.2129743211639012,18.532116706243986,3.1,236663321.038,41.75353887679506,12161140.49426
2018-10-01,Cajas Municipales,1.4526084676290387,10.994818191204677,7.05,24260109.5513,61.28117682227726,2042378.8318399999
2018-11-01,Banca Múltiple,2.2179960493323954,18.51744134495783,3.07,240176762.647,41.92513613862368,13568325.091229998
2018-11-01,Cajas Municipales,1.4218937082598844,10.789725298367399,6.78,24766800.93329,61.20674168108396,2261927.90764
2018-12-01,Banca Múltiple,2.214365009459725,18.412344819618664,2.95,241048845.28999996,42.16538206044433,14922604.220940001
2018-12-01,Cajas Municipales,1.4647984321881948,11.137137237843643,6.5,24903878.953000005,61.277009394177526,2508558.4503699997
2019-01-01,Banca Múltiple,2.203267882710595,18.2517453306334,3.04,240371923.72,40.236712913810386,1241423.89585
2019-01-01,Cajas Municipales,1.4406945420455148,10.968058321427959,6.92,25030139.84121,61.39644712448625,204669.56468999997
2019-02-01,Banca Múltiple,2.212321750444837,18.25837803513274,3.05,241793550.78699997,42.09080121381344,2363307.7649099994
2019-02-01,Cajas Municipales,1.4239119311019957,10.847672105903367,7.21,25241403.555510003,61.62254261440528,403631.33350999997
2019-03-01,Banca Múltiple,2.210723442984137,18.19636780845851,2.99,243040755.89900002,41.013699804976184,3741707.3057899997
2019-03-01,Cajas Municipales,1.449116100461114,11.050890682891556,7.16,25239872.26379,61.8374571307734,635696.71577
