fecha,diferencia_roa,diferencia_roe,diferencia_morosidad,diferencia_tamano_activo,diferencia_ratio_eficiencia_operativa,diferencia_margen_financiero_neto
2018-03-01,0.4270093858999482,5.780367383265995,-3.28,202910951.90556005,-20.474076957223218,2924304.4352200013
2018-04-01,0.4380903495759736,5.752602224814135,-3.3800000000000003,200165541.06216,-19.647269082164684,3980411.70085
2018-05-01,0.4759232647120637,5.930575965813526,-3.27,198495606.36041,-19.735053590135742,5102448.81646
2018-06-01,0.5785228156296782,6.607328000656921,-3.4499999999999997,200411434.88634002,-19.88534556893709,6010080.97458
2018-07-01,0.5972493427871151,6.648808333038385,-3.47,199185413.85312,-19.66801332443773,7051342.386380001
2018-08-01,0.6655640408880452,7.054491894873442,-3.72,202979927.65413004,-19.701592266245214,8039074.110989997
2018-09-01,0.7270975479861945,7.381185109478524,-3.8700000000000006,204900504.15341997,-19.720007679634058,9048796.80139
2018-10-01,0.7603658535348621,7.537298515039307,-3.9499999999999997,212403211.4867,-19.527637945482198,10118761.66242
2018-11-01,0.7961023410725114,7.72771604659043,-3.7100000000000004,215409961.71371,-19.281605542460284,11306397.183589999
2018-12-01,0.7495665772715301,7.275207581775019,-3.55,216144966.33699998,-19.111627333733196,12414045.770569999
2019-01-01,0.7625733406650803,7.28368700920544,-3.88,215341783.87879,-21.159734210675857,1036754.33116
2019-02-01,0.7884098193428415,7.410705929229373,-4.16,216552147.23149,-19.53174140059184,1959676.4313999994
2019-03-01,0.7616073425230232,7.145477125566956,-4.17,217800883.63520998,-20.823757325797224,3106010.59002
2019-04-01,0.809208050424524,7.475323246138824,-4.2700000000000005,218357162.31809998,-20.682274633604564,4215660.854379999
2019-05-01,0.8161667700016244,7.500589013022772,-4.15,218896151.49105,-21.0398380308187,5369730.30246
2019-06-01,0.8033318208125733,7.360587476413622,-3.95,220484280.4896401,-20.982084646761983,6465740.11719
2019-07-01,0.8302430586219058,7.576903867895966,-4.1000000000000005,224826867.67743,-21.325799841280606,7662023.147539999
2019-08-01,0.828828087053046,7.560377673083362,-4.14,225177210.26903,-21.383079676460433,8973626.86263
2019-09-01,0.7974659784759608,7.331302409360459,-4.02,224677799.84145,-21.200215342394202,10041223.348429998
2019-10-01,0.7900938045945283,7.242364454472035,-4.07,227865666.72640002,-21.062631640699202,11141783.149370005
2019-11-01,0.7444286808114358,6.858959821837617,-4.08,232405715.67439002,-20.727194611986846,12282385.75569
2019-12-01,0.6601575750050546,6.1439758344119415,-3.9099999999999997,232596413.39186,-20.210160147410306,13167041.219109999
2020-01-01,0.6643023902086183,6.138485413059332,-4.23,235333291.99981,-22.28486087235747,1219272.5265900001
2020-02-01,0.682133045602719,6.247909372749682,-4.2,238344437.67408,-20.936431112882012,2480959.59339
2020-03-01,0.6690088328584267,6.013913427609506,-4.220000000000001,243257998.4148,-20.222982962590173,3481079.5819400004
2020-04-01,0.5452494631720797,5.0154195726727,-3.9400000000000004,248427405.86182004,-20.55308225204972,3885052.7607999993
2020-05-01,0.47924214631420625,4.559576194254317,-4.1899999999999995,288046457.2456,-20.925942394467825,4343009.422130001
2020-06-01,0.38043634802999504,3.85122458393354,-4.040000000000001,292788625.9291301,-21.036028765955813,4755972.608289998
2020-07-01,0.3300946950829482,3.4482659271063874,-3.72,303756335.24664,-20.89159586614685,5332088.138259999
2020-08-01,0.27048761708764824,2.961586038767458,-3.3000000000000003,316078375.1329299,-21.400979505079015,5738833.471830001
2020-09-01,0.22674094317577242,2.55943449627531,-2.84,316559277.47202003,-21.391879017788618,6042472.87883
2020-10-01,0.23048655968198684,2.4966425653377344,-2.28,318321627.7383501,-21.48888488869791,6472076.17614
2020-11-01,0.23685129956187306,2.4402245405323177,-1.83,321590728.1556601,-21.397018636137922,6668245.556669999
2020-12-01,0.1789954153547354,1.8635624482646045,-1.2800000000000002,325054393.03341,-20.88339875913691,6868830.6302000005
2021-01-01,0.1831284193495613,1.8372774929583149,-1.37,324992762.9883801,-23.58805056573128,596895.5410999998
2021-02-01,0.2057088494265247,1.9575305956966584,-1.8200000000000003,327232861.99024004,-20.531168420625058,1138636.8155899995
2021-03-01,0.26468392978678773,2.4954600392783144,-2.2199999999999998,321874447.04618,-19.608721178549537,2027474.8175600003
2021-04-01,0.4090179463096276,3.822162727448136,-2.5200000000000005,319593749.54544,-18.929878260159676,3035354.17798
2021-05-01,0.5356996940280749,5.013614100838048,-2.6999999999999997,319414170.42652005,-19.110923963914125,3936783.050400001
